Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,Neighborhood,HouseStyle,GarageType,ExterQual,KitchenQual,CentralAir,LotFrontage,MasVnrArea,SalePrice
1,7440,10,1,1914,1932,821,1395,0,1386,2,1,4,9,2,0,0,282,0,0,CollgCr,2Story,Attchd,Ex,TA,Y,77.08961343577066,360.0,265327.0
2,7433,8,3,2005,2010,1128,1145,600,1759,2,1,2,5,2,3,750,0,123,0,Crawfor,1.5Fin,Detchd,TA,Gd,Y,56.197031956886136,0.0,323057.0
3,9865,8,5,1914,2004,1453,681,675,1365,1,0,3,8,1,1,247,0,0,0,Edwards,1.5Fin,Detchd,TA,TA,Y,49.81809066808951,295.0,234008.0
4,4165,1,2,1978,2022,830,428,0,413,3,0,2,4,2,3,743,34,63,0,NAmes,1Story,Detchd,Fa,TA,Y,71.29012516985088,0.0,116898.0
5,4491,10,3,1962,2004,391,1434,697,2125,2,0,3,8,1,0,0,0,120,0,BrkSide,SFoyer,BuiltIn,TA,Gd,Y,58.1876945517659,437.0,142678.0
6,7151,5,4,2018,2022,1652,1738,415,2147,2,1,2,7,1,1,327,291,0,0,Gilbert,1.5Fin,Detchd,Gd,Gd,Y,,256.0,182918.0
7,5972,4,7,1938,1950,1515,870,0,865,1,0,1,5,0,0,0,0,187,0,Crawfor,1Story,Attchd,TA,TA,Y,46.25615950367151,0.0,206362.0
8,10154,2,3,1912,1971,1015,520,1074,1593,3,1,1,5,2,2,630,218,111,0,Somerst,1Story,Detchd,Ex,Gd,Y,37.577323827982525,0.0,135930.0
9,6227,8,9,1980,2001,1391,1026,0,1018,1,0,4,7,1,0,0,55,0,0,Mitchel,1Story,Detchd,Gd,Fa,Y,,246.0,268396.0
10,5090,3,8,1931,2022,902,793,0,803,1,0,2,5,1,1,285,0,48,0,NridgHt,2Story,Attchd,TA,TA,Y,,140.0,134595.0
11,16094,4,4,1908,1959,1088,902,679,1594,3,1,2,5,1,1,346,0,20,301,Crawfor,SLvl,Attchd,Gd,Gd,Y,34.45748896833407,0.0,221350.0
12,8181,7,1,1939,1991,992,1381,1267,2656,3,0,4,9,2,3,939,93,0,0,Gilbert,1.5Fin,Attchd,Gd,TA,Y,112.89251455173084,180.0,188571.0
13,9200,10,1,1919,2004,918,1130,0,1112,3,0,5,10,2,1,317,105,0,0,Timber,SLvl,Attchd,Fa,Gd,Y,112.94910883549721,0.0,183125.0
14,5064,9,1,1989,2007,1193,834,0,822,2,0,2,5,2,2,538,0,0,0,Timber,1Story,,TA,TA,Y,89.48085188262547,0.0,170417.0
15,7202,2,1,1990,1997,566,1373,283,1646,1,1,2,4,1,0,0,0,63,0,OldTown,2Story,Attchd,TA,Gd,Y,61.872999308496475,364.0,162409.0
16,9361,3,8,1984,1991,949,1403,0,1393,2,0,2,4,2,3,888,145,156,0,Somerst,1Story,Detchd,TA,TA,Y,59.36076761731585,0.0,139149.0
